Unnamed: 0,user_name,raw_timestamp_part_1,raw_timestamp_part_2,cvtd_timestamp,new_window,num_window,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,kurtosis_yaw_belt,skewness_roll_belt,skewness_roll_belt.1,skewness_yaw_belt,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,amplitude_yaw_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,kurtosis_yaw_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,skewness_yaw_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,amplitude_yaw_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,kurtosis_yaw_forearm,skewness_roll_forearm,skewness_pitch_forearm,skewness_yaw_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,amplitude_yaw_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,class
9305,carlos,1323084277,250702,05/12/2011 11:24,no,859,1.14,6.72,-92.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.0,-0.03,-19,2,20,4,600,-304,69.7,14.5,113.0,33,,,,,,,,,,,0.03,0.0,-0.05,-278,112,-110,-329,355,529,,,,,,,,,,,,,,,,-56.39426414,-93.02740141,-27.0549763,,,,,,,,,,,,,,,,1,,,,,,,,,,,-0.19,-0.03,-0.07,-6,-4,-2,-579,243,-29.0,131.0,14.0,125.0,,,,,,,,,,,,,,,,51,,,,,,,,,,,0.06,-3.84,-0.75,-32,462,-194,-517,663.0,547.0,B
785,roberto,1322832776,528514,02/12/2011 13:32,no,178,130.0,-39.8,163.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,-0.18,47,45,-167,182,592,-353,-37.7,7.89,100.0,29,,,,,,,,,,,0.18,-0.58,0.87,-279,-56,-28,-311,263,595,,,,,,,,,,,,,,,,41.6476585,-28.82468795,-105.3614263,,,,,,,,,,,,,,,,19,,,,,,,,,,,0.11,0.02,0.03,-52,74,-159,-577,247,24.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,13,,,,,,,,,,,1.7,-0.03,0.79,75,98,42,645,-169.0,-21.0,A
3989,emilio,1322489609,66648,28/11/2011 14:13,no,633,1.7,5.47,-87.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.02,0.03,-12,4,28,65,584,-408,83.4,45.0,95.8,30,,,,,,,,,,,-0.06,0.0,0.03,-223,157,-119,-386,209,597,,,,,,,,,,,,,,,,14.47642004,-56.14890641,98.64627342,,,,,,,,,,,,,,,,39,,,,,,,,,,,0.02,0.0,-0.05,-203,55,318,-425,239,308.0,-147.0,-71.6,87.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.55,-0.27,0.31,-39,287,209,-430,935.0,-344.0,A
8128,jose,1322837856,180313,02/12/2011 14:57,no,693,115.0,18.1,-7.18,17,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.11,-0.18,-15,62,-155,17,606,-313,-43.5,-25.2,-9.69,18,,,,,,,,,,,1.64,-1.22,1.53,108,-108,-87,720,-1,115,,,,,,,,,,,,,,,,46.03231069,-11.54288672,109.4011878,,,,,,,,,,,,,,,,6,,,,,,,,,,,-0.16,0.05,-0.23,-7,27,54,-470,407,-70.0,37.2,11.5,-58.1,,,,,,,,,,,,,,,,14,,,,,,,,,,,-0.34,1.11,0.25,-89,107,14,-207,752.0,581.0,B
448,pedro,1323094981,596318,05/12/2011 14:23,no,57,123.0,26.3,-2.54,19,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,-0.02,-0.44,-43,70,-172,6,585,-376,131.0,-9.49,44.5,28,,,,,,,,,,,-2.73,0.82,0.08,245,25,120,533,216,402,,,,,,,,,,,,,,,,-3.045096946,22.517054,134.3505437,,,,,,,,,,,,,,,,10,,,,,,,,,,,0.56,0.11,-0.26,22,-3,96,522,-525,-79.0,-125.0,64.8,-114.0,,,,,,,,,,,,,,,,24,,,,,,,,,,,0.64,-2.57,-0.43,-152,43,-178,-607,-76.0,275.0,A
17260,jose,1322837950,268306,02/12/2011 14:59,no,162,155.0,6.42,54.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.11,-0.23,-16,60,-243,46,453,-542,-44.8,15.2,-75.2,26,,,,,,,,,,,-2.36,0.14,0.61,-234,-61,77,56,175,641,,,,,,,,,,,,,,,,-101.804051,-25.5804734,-47.80444224,,,,,,,,,,,,,,,,4,,,,,,,,,,,0.13,1.06,-0.38,-11,-37,-20,-366,501,-21.0,44.2,28.2,-36.0,,,,,,,,,,,,,,,,17,,,,,,,,,,,-0.55,0.93,-0.56,-93,140,2,-120,705.0,454.0,E
18366,javier,1322673163,830637,30/11/2011 17:12,no,515,0.49,5.46,-88.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.02,-13,2,48,54,636,-306,0.0,0.0,0.0,20,,,,,,,,,,,-4.98,1.99,-0.69,-35,104,-168,746,-7,81,,,,,,,,,,,,,,,,96.30920673,-33.82935629,-48.32155933,,,,,,,,,,,,,,,,29,,,,,,,,,,,0.75,-0.87,-0.25,-95,235,-133,-349,460,161.0,152.0,-4.92,89.2,,,,,,,,,,,,,,,,30,,,,,,,,,,,-0.02,-0.06,0.0,186,164,-163,-38,691.0,802.0,E
11340,roberto,1322832867,576278,02/12/2011 13:34,no,545,128.0,-41.2,162.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.1,-0.11,50,42,-168,167,598,-306,-10.8,76.2,-74.0,31,,,,,,,,,,,-0.06,-0.74,0.84,-291,-42,-70,-419,352,517,,,,,,,,,,,,,,,,41.2352991,-31.48595958,-103.9704399,,,,,,,,,,,,,,,,17,,,,,,,,,,,0.03,0.11,-0.28,-51,66,-142,-566,222,98.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.66,5.54,2.38,-196,297,6,-684,312.0,824.0,C
303,pedro,1323094974,584699,05/12/2011 14:22,no,51,127.0,27.0,0.93,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48,-0.02,-0.48,-46,69,-186,9,571,-394,-149.0,-40.4,25.3,45,,,,,,,,,,,-2.14,0.43,0.51,426,-59,-81,743,-17,-75,,,,,,,,,,,,,,,,-25.25383654,19.10557965,125.1568168,,,,,,,,,,,,,,,,10,,,,,,,,,,,0.48,-0.19,-0.34,19,-25,95,493,-560,-25.0,86.2,4.2,106.0,,,,,,,,,,,,,,,,34,,,,,,,,,,,0.26,0.22,0.16,137,232,-190,-177,751.0,619.0,A
5605,pedro,1323094997,512285,05/12/2011 14:23,no,70,124.0,27.2,-4.16,19,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,-0.05,-0.38,-34,67,-172,-11,575,-375,-4.87,-5.1,-130.0,2,,,,,,,,,,,-0.26,-0.21,0.1,-1,-3,17,-392,377,464,,,,,,,,,,,,,,,,39.59470686,53.07819183,88.09821959,,,,,,,,,,,,,,,,4,,,,,,,,,,,0.63,0.05,-0.15,21,16,32,492,-552,-183.0,-143.0,43.0,-118.0,,,,,,,,,,,,,,,,32,,,,,,,,,,,0.14,-1.12,-0.08,-100,-201,-225,-457,-321.0,252.0,B
